price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
Rp 725 Juta,https://www.rumah123.com/properti/sleman/hos17151895/,Rumah Baru dalam perumahan Purwomartani,"Depok, Sleman",3,2,1,87 m²,70 m²
"Rp 2,15 Miliar",https://www.rumah123.com/properti/bantul/hos17151882/,"Rumah 2 Lantai Baru Furnished SHM di Jalan Kesejahteraan Sosial Nomor 6, Bantul","Kasihan, Bantul",4,3,1,111 m²,180 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/bantul/hos16077117/,"Rumah Elit, Akses Tidak Sulit Ke Ringroad Tinggal Maju Dikit","Banguntapan, Bantul",4,4,1,128 m²,200 m²
Rp 895 Juta,https://www.rumah123.com/properti/yogyakarta/hos16077115/,Rumah Modern Selangkah Dari Jogja Bay Dan Fasilitas Publik,"Sleman, Yogyakarta",3,1,1,157 m²,69 m²
"Rp 1,1 Miliar",https://www.rumah123.com/properti/sleman/hos17151057/,"Dijual Tanah Bonus Bangunan, Kaliurang Km.8 Jogja, Luas 213 M2","Kaliurang, Sleman",3,2,1,213 m²,80 m²
Rp 725 Juta,https://www.rumah123.com/properti/sleman/hos17151045/,Rumah baru dekat Budi mulia Tajem Maguwo,"Depok, Sleman",3,2,1,96 m²,54 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/sleman/hos14445850/,Rumah Bagus di Jogja Utara Dekat Jalan Kaliurang Km 7 Sleman,"Ngaglik, Sleman",4,3,1,215 m²,200 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/bantul/hos17150960/,Rumah Baru Proses Bangun di Sorowajan Banguntapan Dalam Ringroad,"Banguntapan, Bantul",3,3,1,156 m²,140 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17150857/,Rumah Dijual di Yogyakarta,"Wirobrajan, Yogyakarta",3,3,1,110 m²,129 m²
Rp 650 Juta,https://www.rumah123.com/properti/sleman/hos17150855/,"Rumah siap huni poton, jalan palagan km 9,5","Ngaglik, Sleman",3,2,1,101 m²,80 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17150851/,"Rumah Jogja Strategis, Kaliurang Km .9 Dalam Perumahan Greenhills","Kaliurang, Sleman",3,3,1,122 m²,200 m²
"Rp 2,11 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17150733/,Perumahan Kolam Renang Pribadi Bonus Rumah di Waterpark Citra,"Sleman, Yogyakarta",4,3,2,192 m²,135 m²
Rp 745 Juta,https://www.rumah123.com/properti/sleman/hos17150711/,"Rumah Baru SHM di Ring Road Barat, Sleman","Gamping, Sleman",2,2,1,98 m²,70 m²
Rp 357 Juta,https://www.rumah123.com/properti/sleman/hos17150704/,Rumah Luas 300jt an Di Prambanan Selatan Jl Jogja solo,"Prambanan, Sleman",2,1,1,99 m²,36 m²
"Rp 2,14 Miliar",https://www.rumah123.com/properti/sleman/hos17150558/,Rumah Megah 2 Lantai Free Rumah Investasi di Jogja Barat,"Sleman, Sleman",4,3,2,196 m²,135 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17150597/,Rumah dalam Cluster utara Jogja Bay Maguwoharjo,"Depok, Sleman",4,3,1,169 m²,125 m²
