price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
"Rp 2,56 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17122747/,Rumah Mewah 2 Lantai Dengan Kolam Renang Di Kalasan Sleman,"Maguwoharjo, Yogyakarta",5,4,2,179 m²,130 m²
"Rp 1,38 Miliar",https://www.rumah123.com/properti/sleman/hos17114010/,Dijual Rumah Berbah Jogja American Style Jl Solo Jogja,"Sleman, Sleman",3,2,1,107 m²,100 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/bantul/hos17139663/,Rumah Siap Huni Dalam Perumahan Ada 2 Unit Berdampingan Cck Untuk Keluarga Homestay Investasi Dekat Ke Ambarukmo Plaza,"Banguntapan, Bantul",3,2,1,118 m²,70 m²
"Rp 1,65 Miliar",https://www.rumah123.com/properti/sleman/hos17139659/,Rumah Modern Eropa Klasik 2 Lantai Dekat Stadion Maguwo,"Depok, Sleman",3,3,1,130 m²,130 m²
Rp 520 Juta,https://www.rumah123.com/properti/sleman/hos17139650/,Jual Cepat Rumah Siap Huni Di Margoagung Sayegan Harga 500 Jt An,"Mlati, Sleman",2,1,1,90 m²,50 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17139640/,Rumah 2 Lantai Siap Huni Dekat Rs Hardjolukito,"Banguntapan, Bantul",4,3,1,99 m²,105 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17139632/,Rumah 2 Lantai Siap Huni Dekat Rs Hardjolukito,"Banguntapan, Bantul",4,3,1,99 m²,105 m²
Rp 645 Juta,https://www.rumah123.com/properti/bantul/hos17139595/,Rumah Secondary Murah Dekat Ke Terminal Giwangan,"Banguntapan, Bantul",3,1,1,93 m²,60 m²
Rp 645 Juta,https://www.rumah123.com/properti/bantul/hos17139590/,Rumah Secondary Murah Dekat Ke Terminal Giwangan,"Banguntapan, Bantul",3,1,1,93 m²,60 m²
Rp 235 Juta,https://www.rumah123.com/properti/sleman/hos17139569/,Kawasan Datar Hunian Di Utara Prambanan Mulai 200jt an,"Berbah, Sleman",2,1,1,73 m²,30 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/sleman/hos17139542/,Rumah Dijual di Yogyakarta,"Depok, Sleman",3,3,1,110 m²,129 m²
"Rp 3,5 Miliar",https://www.rumah123.com/properti/sleman/hos17139466/,Kost 2lantai Dijual Mlati Sleman Jogja.SUPER STRATEGIS MURAH!!! di Kost 2lantai Dijual Mlati Sleman Jogja.SUPER STRATEGIS MURAH!!!,"Mlati, Sleman",13,13,1,215 m²,260 m²
"Rp 1,82 Miliar",https://www.rumah123.com/properti/bantul/hos17139497/,Rumah Dijual di Yogyakarta,"Kasihan, Bantul",3,2,1,140 m²,158 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17139468/,Rumah 2 Lantai Siap Huni Di Banatul Dekat Kampus 4 Uad Jogja,"Banguntapan, Bantul",4,3,1,99 m²,105 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17139452/,"Rumah 2 Lantai, Siap Huni, Desain Klasik, Di Banguntapan, Bantul","Banguntapan, Bantul",4,3,1,99 m²,105 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17139451/,"Dijual Rumah Mewah 2 Lantai, Lokasi Startegis Di Banguntapan","Banguntapan, Bantul",4,3,1,99 m²,105 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17137131/,"Rumah Mewah, 2 Lantai, 8 Menit Ke Kampus 4 Uad Di Banguntapan","Banguntapan, Bantul",4,3,1,99 m²,105 m²
Rp 5 Miliar,https://www.rumah123.com/properti/sleman/hos17139352/,Rumah Kaliurang Ngaglik Sleman Jogja.PRIVATE POOL STRATEGIS!!,"Ngaglik, Sleman",4,4,1,193 m²,300 m²
Rp 592 Juta,https://www.rumah123.com/properti/sleman/hos17139339/,Rumah Modern Diselatan Pn Sleman 590 Jt An Siap Bangun,"Mlati, Sleman",2,1,1,104 m²,50 m²
"Rp 2,36 Miliar",https://www.rumah123.com/properti/sleman/hos17138247/,Beli Rumah Diskon + Bonus Rumah Gratis di Sleman Jogja,"Sleman, Sleman",4,3,1,182 m²,135 m²
"Rp 2,7 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17138175/,Beli Rumah Dapatkan Rumah Gratis di Sleman Jogja,"Sleman, Yogyakarta",4,3,1,213 m²,135 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/yogyakarta/hos16987800/,Rumah Dijual di Yogyakarta,"Wirobrajan, Yogyakarta",3,3,1,110 m²,129 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17139102/,"Rumah Siap Huni, Tanah Luas, Dekat Ke Maguwoharjo, Sleman","Purwomartani   , Sleman",3,2,1,145 m²,70 m²
Rp 520 Juta,https://www.rumah123.com/properti/sleman/hos17139036/,Rumah Cantik Luas 50 M2 Dekat Polsek Seyegan Sleman,"Sayegan, Sleman",2,1,1,90 m²,50 m²
Rp 685 Juta,https://www.rumah123.com/properti/sleman/hos17103903/,Rumah Tipe Guedee Siap Huni 15 menit ke Maguwoharjo,"Ngemplak, Sleman",3,2,2,120 m²,75 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos13924014/,Rumah di Jakal km 9 (krapyak),"Ngemplak, Sleman",2,2,1,405 m²,123 m²
"Rp 3,2 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17122993/,Rumah Mewah 5 Kamar Tidur Di Utara Jl Jogja Solo Dekat Amplaz,"Maguwoharjo, Yogyakarta",5,4,3,225 m²,155 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17138689/,Rumah Minimalis Siap Huni Di Kalasan Dekat Swalayan Pamella 7,"Kalasan, Sleman",3,2,1,145 m²,70 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17138688/,"Rumah Murah, Shm, Tipe Besar Di Kalasan, Sleman","Kalasan, Sleman",3,2,1,145 m²,70 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17138686/,"Rumah Baru Modern Kekinian, SHM Di Kalasan Sleman Jogja","Kalasan, Sleman",3,2,2,145 m²,70 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17137055/,"Rumah Murah,tanah Luas Dekat Sekolah Budi Mulia Tajem Maguwo","Kalasan, Sleman",3,2,1,145 m²,70 m²
Rp 999 Juta,https://www.rumah123.com/properti/sleman/hos17138651/,Perum 2 Lantai Dekat Sd Budi Mulia Dua Sleman,"Ngaglik, Sleman",3,3,1,103 m²,100 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos17138552/,Dijual Rumah Baru Siap Huni,"Purwomartani   , Sleman",3,2,2,114 m²,80 m²
Rp 195 Juta,https://www.rumah123.com/properti/sleman/hos17138535/,Beli Rumah Hemat Di Timur Jogja Mulai 195juta Legalitas SHM,"Berbah, Sleman",1,1,1,60 m²,23 m²
Rp 195 Juta,https://www.rumah123.com/properti/sleman/hos17138516/,Investasi Rumah di Jogja Mulai 190 Jt An Dekat Candi Prambanan,"Kalasan, Sleman",2,1,1,60 m²,23 m²
Rp 270 Juta,https://www.rumah123.com/properti/kulon-progo/hos17138460/,Perumahan 200 Juta Unit Terbatas di Jogja Barat Kawasan Industri,"Nanggulan, Kulon Progo",1,1,,71 m²,36 m²
Rp 725 Juta,https://www.rumah123.com/properti/sleman/hos17138362/,For Sale 1 Unit Rumah Minimalis di Perum Polda Purwomartani,"Purwomartani   , Sleman",3,2,1,87 m²,80 m²
"Rp 9,6 Miliar",https://www.rumah123.com/properti/sleman/hos17138353/,"Dijual Ruko Luas + Kos2an, Lokasi Premium Dalam Ring Road, Dekat Kampus Dan Plaza","Caturtunggal, Sleman",14,14,4,662 m²,515 m²
Rp 227 Juta,https://www.rumah123.com/properti/sleman/hos17138346/,Rumah Baru Bermanfaat Dilokasi Strategis Akses Mudah,"Ngaglik, Sleman",2,1,1,60 m²,28 m²
Rp 275 Juta,https://www.rumah123.com/properti/bantul/hos17138282/,Rumah 200 Jutaan Dekat Jl Jogja wates Di Sedayu Bantul,"Sedayu, Bantul",2,1,1,70 m²,36 m²
Rp 270 Juta,https://www.rumah123.com/properti/kulon-progo/hos17138225/,Perumahan Shm 200 Jutaan di Jalan Wates dekat Brimob Sentolo,"Kulonprogo, Kulon Progo",1,1,,71 m²,36 m²
"Rp 2,43 Miliar",https://www.rumah123.com/properti/sleman/hos17138260/,Special Offer Beli 1 Rumah Gratis 1 Rumah di Sleman Jogja,"Sleman, Sleman",4,3,1,196 m²,135 m²
"Rp 2,45 Miliar",https://www.rumah123.com/properti/sleman/hos17138232/,Promo Istimewa Beli Rumah Gratis 1 Rumah di Sleman Jogja,"Sleman, Sleman",4,3,1,187 m²,135 m²
Rp 155 Juta,https://www.rumah123.com/properti/sleman/hos17103173/,Rumah Murah Hanya Dp 155 Juta di Besi Jangkang Dekat Blue Lagoon,"Ngaglik, Sleman",2,1,1,88 m²,36 m²
"Rp 2,9 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17138187/,"Dijual Rumah 2 Lantai Bagus di Sleman, Yogyakarta","Sleman, Yogyakarta",4,3,2,189 m²,220 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/sleman/hos17138186/,"Dijual Rumah Murah Ready 2 Lantai Di Ngaglik, Sleman","Ngaglik, Sleman",3,3,2,105 m²,90 m²
"Rp 1,25 Miliar",https://www.rumah123.com/properti/sleman/hos17138142/,"Rumah Desain Mewah, Tanah Luas Di Ngaglik, Sleman","Ngaglik, Sleman",3,2,2,161 m²,90 m²
Rp 270 Juta,https://www.rumah123.com/properti/kulon-progo/hos17138114/,Perumahan Modern di Jalan Wates Diy Kawasan Industri Sentolo,"Wates, Kulon Progo",2,1,1,71 m²,36 m²
Rp 699 Juta,https://www.rumah123.com/properti/sleman/hos17138095/,Rumah Baru Siap Huni Dekat Pasar Di Ngemplak Sleman,"Ngemplak, Sleman",3,2,1,120 m²,75 m²
Rp 699 Juta,https://www.rumah123.com/properti/sleman/hos17138092/,Rumah Idaman Siap Huni Di Sleman Utara Dengan Dp Super Ringan,"Ngemplak, Sleman",3,2,1,120 m²,75 m²
Rp 699 Juta,https://www.rumah123.com/properti/sleman/hos17136975/,Rumah Mewah Kekinian Gratis Biaya Pajak Di Utara Maguwoharjo,"Ngemplak, Sleman",3,2,2,120 m²,75 m²
Rp 585 Juta,https://www.rumah123.com/properti/sleman/hos17138072/,"Rumah Murah, Shm, Dekat Candi Prambanan Di Kalasan, Sleman","Kalasan, Sleman",3,1,1,111 m²,55 m²
Rp 278 Juta,https://www.rumah123.com/properti/kulon-progo/hos17138070/,Dijual Rumah Minimalis 1 Lantai Gaya Jepang di Sentolo Kulon Progo Yogyakarta,"Sentolo, Kulon Progo",2,1,2,71 m²,36 m²
Rp 270 Juta,https://www.rumah123.com/properti/kulon-progo/hos17138027/,Perumahan Smarthome dekat Bandara Yia dan Exit Tol Sentolo,"Wates, Kulon Progo",1,1,,71 m²,36 m²
"Rp 4,75 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17138057/,Dijual Rumah Baru Dengan Kolam Renang Pribadi,"Sleman, Yogyakarta",5,5,2,267 m²,340 m²
Rp 379 Juta,https://www.rumah123.com/properti/sleman/hos17138004/,Rumah Modern Pesan Bangun By Request Di Ngaglik Sleman,"Ngaglik, Sleman",2,1,1,94 m²,36 m²
Rp 12 Miliar,https://www.rumah123.com/properti/yogyakarta/hos9587477/,Rumah kost 29 kamar cocok untuk investasi Depok Sleman Yogya karya,"Sleman, Yogyakarta",29,,,787 m²,727 m²
"Rp 2,25 Miliar",https://www.rumah123.com/properti/sleman/hos17137944/,Di Jual Rumah Exclusive Kolam Renang Yogyakarta,"Gamping, Sleman",4,3,2,183 m²,135 m²
Rp 735 Juta,https://www.rumah123.com/properti/yogyakarta/hos17137940/,Dijual 9 Unit Rumah Baru Dalam Cluster,"Maguwoharjo, Yogyakarta",3,2,1,105 m²,70 m²
Rp 270 Juta,https://www.rumah123.com/properti/kulon-progo/hos17137903/,Perumahan Smarthome dekat Exit Tol Sentolo dan Bandara Yia,"Sentolo, Kulon Progo",1,1,1,71 m²,36 m²
Rp 375 Juta,https://www.rumah123.com/properti/sleman/hos17137905/,Rumah Murah Dijual 375 Juta Dekat Tol Jogja Solo Di Kalasan,"Kalasan, Sleman",2,1,1,72 m²,72 m²
Rp 705 Juta,https://www.rumah123.com/properti/sleman/hos17137861/,Sisa 1 Unit Terakhir Rumah Murah Gratis Biaya Di Sleman Utara,"Ngemplak, Sleman",3,2,1,120 m²,75 m²
"Rp 4,3 Miliar",https://www.rumah123.com/properti/sleman/hos13923276/,Rumah 2 lantai di Green Hills,"Ngaglik, Sleman",4,3,1,280 m²,185 m²
"Rp 1,29 Miliar",https://www.rumah123.com/properti/bantul/hos17137736/,"Rumah Cantik 2 Lantai Di Banguntapan Bantul, 8 Menit Kids Fun","Banguntapan, Bantul",4,3,2,99 m²,105 m²
Rp 166 Juta,https://www.rumah123.com/properti/sleman/hos17137672/,"Rumah satu lantai area pedesaan di jalan Gumul,karang nonggko
Dekat dengn prabanan di jalan Gumul,karang nonggko
Dekat dengn prabanan","Prambanan, Sleman",2,1,1,60 m²,30 m²
Rp 775 Juta,https://www.rumah123.com/properti/sleman/hos17137681/,"Rumah Murah Minimalis Di Purwomartani Sleman, Dekat Budi Mulia 2","Purwomartani   , Sleman",3,2,2,145 m²,75 m²
"Rp 1,35 Miliar",https://www.rumah123.com/properti/sleman/hos17137673/,Dalam Perumahan Modern Rumah Baru Strategis Kampus Uii Kaliurang,"Ngaglik, Sleman",3,3,1,106 m²,90 m²
Rp 425 Juta,https://www.rumah123.com/properti/bantul/hos17137657/,Rumah Cantik Minimalis Dekat Jalan Tugu Gentong Di Bangunjiwo,"Kasihan, Bantul",2,1,1,107 m²,55 m²
Rp 425 Juta,https://www.rumah123.com/properti/bantul/hos17136903/,"Rumah Murah Siap Huni Di Bangunjiwo, Bantul","Kasihan, Bantul",2,2,1,107 m²,55 m²
Rp 425 Juta,https://www.rumah123.com/properti/bantul/hos17137656/,Rumah Baru SHM Di Kasihan Bantul Yogyakarta,"Kasihan, Bantul",2,2,1,107 m²,55 m²
"Rp 6,8 Miliar",https://www.rumah123.com/properti/sleman/hos17137626/,RUMAH JAKAL HARGA MURAH,"Caturtunggal, Sleman",6,3,,407 m²,380 m²
"Rp 1,37 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17137568/,Rumah 2 Lantai siap huni legalitas SHM bisa untuk kost,"Maguwoharjo, Yogyakarta",4,3,2,183 m²,168 m²
"Rp 4,53 Miliar",https://www.rumah123.com/properti/sleman/hos17137604/,HYARTA ECO VILLAGE PERUMAHAN MEWAH DI JOGJA TIMUR,"Depok, Sleman",3,3,,200 m²,145 m²
Rp 299 Juta,https://www.rumah123.com/properti/sleman/hos17137498/,Rumah Design Bisa Request Dekat Blue Lagoon Jogja,"Ngaglik, Sleman",2,1,1,88 m²,36 m²
Rp 689 Juta,https://www.rumah123.com/properti/sleman/hos17137485/,"Rumah Minimalis Modern Terlaris Di Maguwoharjo Sleman, Shm","Ngemplak, Sleman",3,2,2,120 m²,77 m²
Rp 2 Miliar,https://www.rumah123.com/properti/sleman/hos17137432/,Turun Harga Rumah Dalam Perumahan Strategis Kampus Ugm di Palagan,"Ngaglik, Sleman",3,3,1,125 m²,169 m²
"Rp 1,5 Miliar",https://www.rumah123.com/properti/sleman/hos17137264/,Rumah dalam perum one gate system di the residence ambarketawang harga di bawah pasaran,"Gamping, Sleman",3,3,1,125 m²,200 m²
Rp 450 Juta,https://www.rumah123.com/properti/sleman/hos17137309/,Rumah Proses Bangun Di Jl Godean Km 12 Harga 450 Juta An,"Gamping, Sleman",2,1,1,83 m²,50 m²
Rp 425 Juta,https://www.rumah123.com/properti/bantul/hos17137287/,Rumah Murah Dp Ringan Dekat Kampus Umy Isi Bantul,"Kasihan, Bantul",2,2,1,107 m²,55 m²
"Rp 2,68 Miliar",https://www.rumah123.com/properti/sleman/hos17137251/,Dalam Perumahan Elit Modern Jalan Palagan Rumah Baru Siap Huni,"Ngaglik, Sleman",4,4,1,127 m²,100 m²
Rp 575 Juta,https://www.rumah123.com/properti/sleman/hos17137159/,Cluster Proses Bangun di Jalan Magelang Strategis Pasar Sleman,"Sleman, Sleman",3,1,1,100 m²,70 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/bantul/hos17133908/,Rumah Joglo Jalan Parangtritis Km 14 Lingkungan Asri,"Jetis, Bantul",4,5,2,500 m²,140 m²
Rp 435 Juta,https://www.rumah123.com/properti/bantul/hos15410738/,Rumah Dekat Rsud Bantul Kota di Jl Parangtritis Km 10 Siap Huni,"Bantul, Bantul",2,1,1,90 m²,45 m²
"Rp 4,8 Miliar",https://www.rumah123.com/properti/sleman/hos17137145/,Rumah & Tempat Usaha strategis hanya 2 km ke Tugu Jogja,"Gamping, Sleman",7,8,1,223 m²,513 m²
Rp 399 Juta,https://www.rumah123.com/properti/sleman/hos8720772/,Dapatkan Rumah Mewah Ramai Penduduk di Jl Godean KM 15 Sleman,"Minggir, Sleman",2,1,,100 m²,45 m²
"Rp 2,66 Miliar",https://www.rumah123.com/properti/sleman/hos13965471/,Rumah & Kost2an SHM di Jl. Ringroad Utara,"Mlati, Sleman",13,3,1,532 m²,412 m²
Rp 410 Juta,https://www.rumah123.com/properti/bantul/hos15408332/,Rumah Siap Huni Dekat Komplek Bupati Bantul di Ringinharjo Bantul Kota,"Bantul, Bantul",2,1,1,80 m²,42 m²
"Rp 2,16 Miliar",https://www.rumah123.com/properti/bantul/hos14686822/,Dijual Rumah & Kost di Jalan Parangtritis,"Sewon, Bantul",17,4,1,304 m²,210 m²
Rp 335 Juta,https://www.rumah123.com/properti/bantul/hos16502736/,Rumah Murah Mewah di Yogyakarta Dekat RS UII Bantul,"Bantul, Bantul",2,1,1,60 m²,36 m²
Rp 260 Juta,https://www.rumah123.com/properti/bantul/hos15600398/,Rumah Dijual Jogja Dekat Bantul Kota Pajangan Yogyakarta,"Pajangan, Bantul",2,1,1,88 m²,40 m²
Rp 757 Juta,https://www.rumah123.com/properti/sleman/hos17137042/,Dalam Cluster Modern di Jalan Gito Gati Rumah 700 Jutaan Saja,"Ngemplak, Sleman",2,1,1,95 m²,57 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17137000/,Rumah klasik bangunan kokoh dalam beteng kraton,"Kraton, Yogyakarta",3,3,1,247 m²,172 m²
Rp 425 Juta,https://www.rumah123.com/properti/bantul/hos17136959/,Cluster One Gate Cantik Nan Murah Di Bangunjiwo Bantul,"Kasihan, Bantul",2,2,1,107 m²,55 m²
Rp 897 Juta,https://www.rumah123.com/properti/sleman/hos17136955/,Rumah Baru Cuma 800 Jutaan di Maguwoharjo Lengkap Imb,"Depok, Sleman",3,2,1,107 m²,91 m²
Rp 850 Juta,https://www.rumah123.com/properti/yogyakarta/hos17122734/,Cari Rumah Dalam Ringroad Siap Huni Kami Punya Nih,"Sleman, Yogyakarta",2,2,1,98 m²,105 m²
Rp 930 Juta,https://www.rumah123.com/properti/yogyakarta/hos17122954/,Cari Rumah Siap Huni Sejuk Asri di Sleman Dekat Kopi Klotok,"Sleman, Yogyakarta",4,5,1,211 m²,180 m²
Rp 650 Juta,https://www.rumah123.com/properti/yogyakarta/hos17130919/,Cari Rumah Siap Huni di Sleman Utara Kamu Harus Cek Unit Ini,"Sleman, Yogyakarta",3,2,1,98 m²,75 m²
Rp 760 Juta,https://www.rumah123.com/properti/yogyakarta/hos17131054/,Rekomendasi Rumah di Sleman Dekat Kampus Uii,"Sleman, Yogyakarta",4,2,1,132 m²,90 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/sleman/hos17131393/,Rumah Full Furnished di Sleman Dekat Pamella 7,"Purwomartani   , Sleman",3,2,1,120 m²,84 m²
Rp 985 Juta,https://www.rumah123.com/properti/yogyakarta/hos17131872/,2 Lantai Harga 1 Lantai di Sleman Dekat Kampus Upn,"Sleman, Yogyakarta",2,2,1,125 m²,132 m²
Rp 875 Juta,https://www.rumah123.com/properti/sleman/hos17132530/,Cari Rumah Strategis Akses Jalan Lancar Unit Ini Cocok Nihh,"Godean, Sleman",3,2,1,133 m²,83 m²
Rp 595 Juta,https://www.rumah123.com/properti/sleman/hos17136856/,RUMAH BARU dalam CLUSTER dekat PASAR CEBONGAN,"Mlati, Sleman",2,1,,91 m²,50 m²
Rp 800 Juta,https://www.rumah123.com/properti/bantul/hos17136762/,SUPER BU BU!! DIJUAL RUMAH LANTAI  2 DALAM DAN DEKAT RINGROAD,"Sewon, Bantul",4,2,,107 m²,165 m²
Rp 800 Juta,https://www.rumah123.com/properti/yogyakarta/hos17136734/,SUPER BU BU BU!; DIJUAL RUMAH LANTAI  2 DALAM DAN DEKAT RINGROAD,"Mantrijeron, Yogyakarta",4,2,,107 m²,165 m²
Rp 550 Juta,https://www.rumah123.com/properti/bantul/hos17136663/,RUMAH KOS DEKAT KAMPUS UAD JOGJA COCOK UNTUK INVESTASI,"Banguntapan, Bantul",6,3,1,94 m²,94 m²
"Rp 6,9 Miliar",https://www.rumah123.com/properti/sleman/hos17136646/,RUMAH MEWAH PESONA MERAPI,"Ngaglik, Sleman",4,3,2,843 m²,450 m²
Rp 550 Juta,https://www.rumah123.com/properti/bantul/hos17136638/,"KOS DEKAT KAMPUS UAD,STIKES,STTKD,COCOK UNTUK INVESTASI","Banguntapan, Bantul",6,3,1,94 m²,94 m²
"Rp 2,9 Miliar",https://www.rumah123.com/properti/sleman/hos17136497/,RUMAH KOS ISTIMEWA DI DEPOK SLEMAN,"Depok, Sleman",15,15,,140 m²,383 m²
Rp 275 Juta,https://www.rumah123.com/properti/yogyakarta/hos17131031/,Rumah Siap Huni Minimalis Modern 200 Jt An Lingkungan Nyaman Ready Kpr,"Gondokusuman, Yogyakarta",2,1,1,61 m²,30 m²
"Rp 1,5 Miliar",https://www.rumah123.com/properti/sleman/hos14377791/,Rumah Bagus 2 Lantai dlm ringroad Nogotirto Sleman Yogyakarta,"Gamping, Sleman",5,4,1,144 m²,250 m²
Rp 899 Juta,https://www.rumah123.com/properti/bantul/hos16949282/,Rumah Siap Huni 2 Lantai SHM Banguntapan Yogyakarta,"Banguntapan, Bantul",3,4,1,100 m²,98 m²
Rp 630 Juta,https://www.rumah123.com/properti/sleman/hos14383442/,"Rumah Baru di Sidoarum, Sleman Yogyakarta","Godean, Sleman",3,2,1,104 m²,64 m²
"Rp 2,7 Miliar",https://www.rumah123.com/properti/sleman/hos17136165/,Resto Dijual Area Wisata Pakem Sleman Jogja.JARANG ADA RAME!!,"Pakem, Sleman",1,4,3,644 m²,350 m²
Rp 900 Juta,https://www.rumah123.com/properti/bantul/hos17136161/,Rumah Dijual Baturetno Kotagede kota Jogja.STRATEGIS MURAH!!,"Banguntapan, Bantul",3,4,1,98 m²,100 m²
Rp 454 Juta,https://www.rumah123.com/properti/bantul/hos15846388/,Rumah Murah Kasihan Bantul Dekat Kampus Umy,"Kasihan, Bantul",2,1,2,112 m²,40 m²
"Rp 1,94 Miliar",https://www.rumah123.com/properti/sleman/hos16721762/,Rumah Mewah Siap Huni Dekat Sleman City Hall,"Mlati, Sleman",3,3,2,102 m²,138 m²
Rp 278 Juta,https://www.rumah123.com/properti/yogyakarta/hos17078036/,270 Jutaan Sudah Dapat Rumah Japandi di Jogja Legalitas SHM,"Wirobrajan, Yogyakarta",2,1,2,71 m²,36 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/sleman/hos16789098/,Terbaru Rumah Siap Huni Di Jakal Km 10 Dekat Pasar Gentan,"Ngaglik, Sleman",3,3,2,105 m²,90 m²
Rp 450 Juta,https://www.rumah123.com/properti/sleman/hos16906160/,"Rumah Murah Cantik Di Jalan Godean Km 12, Sleman","Godean, Sleman",2,1,1,82 m²,50 m²
Rp 430 Juta,https://www.rumah123.com/properti/sleman/hos16816152/,"Cluster Murah, Mulai 400 Jutaan Di Prambanan, Klaten","Prambanan, Sleman",2,1,2,68 m²,45 m²
"Rp 4,5 Miliar",https://www.rumah123.com/properti/sleman/hos16999932/,Dijual Cepat Kost Murah SHM Di Condongcatur Sleman,"Depok, Sleman",13,13,10,235 m²,470 m²
Rp 585 Juta,https://www.rumah123.com/properti/sleman/hos16897218/,"Rumah Modern, Proses Bangun, 5 Menit Dari Smp Negeri 1 Kalasan","Kalasan, Sleman",3,1,2,111 m²,55 m²
Rp 5 Miliar,https://www.rumah123.com/properti/sleman/hos17135992/,Rumah Kolam Renang Perumahan Jogja Ngaglik Sleman Yogyakarta,"Ngaglik, Sleman",4,4,2,193 m²,300 m²
"Rp 3,5 Miliar",https://www.rumah123.com/properti/sleman/hos17135965/,Rumah Kos Furnished 14 Kamar Jogja Palagan Ngaglik Sleman Yogyaka,"Ngaglik, Sleman",14,13,3,215 m²,260 m²
"Rp 1,79 Miliar",https://www.rumah123.com/properti/sleman/hos16431986/,Rumah Murah Etnik All In Di Sleman SHM One Gate System,"Gamping, Sleman",3,2,1,108 m²,110 m²
Rp 665 Juta,https://www.rumah123.com/properti/sleman/hos17135669/,Dijual Rumah Cantik Type 60 Siap Huni di Sleman Jogja,"Kalasan, Sleman",3,2,1,120 m²,60 m²
Rp 900 Juta,https://www.rumah123.com/properti/sleman/hos17135618/,Rumah Dijual Palagan Ngaglik Sleman Jogja.FURNISHED MURAH!!!,"Ngaglik, Sleman",3,2,,128 m²,120 m²
"Rp 1,78 Miliar",https://www.rumah123.com/properti/sleman/hos16730363/,"Dijual Rumah 2 Lantai, Desain Modern Di Maguwoharjo, Depok","Depok, Sleman",4,3,2,118 m²,160 m²
Rp 500 Juta,https://www.rumah123.com/properti/sleman/hos16539680/,"Rumah Baru, 500 Juta, Bisa Kpr Di Kalasan, Sleman","Kalasan, Sleman",3,2,1,104 m²,80 m²
Rp 580 Juta,https://www.rumah123.com/properti/sleman/hos16730275/,"Rumah 500 Jutaan, Dekat Jalan Kaliurang Km 10","Ngaglik, Sleman",2,1,2,98 m²,45 m²
"Rp 1,08 Miliar",https://www.rumah123.com/properti/sleman/hos16706799/,Jual Rumah Murah Dekat Kampus Uii Di Ngaglik Sleman,"Ngaglik, Sleman",3,3,2,85 m²,98 m²
Rp 278 Juta,https://www.rumah123.com/properti/sleman/hos17078097/,Rumah 270 Jutaan 30 Menit Ke Malioboro Jogja Dan Bandara Yia,"Gamping, Sleman",2,1,2,71 m²,36 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17135489/,Rumah 2lantai Dijual Kusumanegara kota Jogja.STRATEGIS MURAH!!!,"Umbulharjo, Yogyakarta",4,3,,200 m²,190 m²
Rp 890 Juta,https://www.rumah123.com/properti/sleman/hos17135360/,Rumah Unit Terbatas Free Semua Biaya Dekat Budi Mulia 2,"Ngemplak, Sleman",5,2,2,142 m²,110 m²
Rp 890 Juta,https://www.rumah123.com/properti/sleman/hos17135357/,Rumah Unit Terbatas Free Semua Biaya Dekat Budi Mulia 2,"Ngemplak, Sleman",5,2,1,142 m²,110 m²
Rp 760 Juta,https://www.rumah123.com/properti/sleman/hos17135323/,Rumah Cantik Dalam Cluster Di Dekat Kampus Uii,"Ngemplak, Sleman",4,2,1,132 m²,90 m²
Rp 760 Juta,https://www.rumah123.com/properti/sleman/hos17135322/,Rumah Cantik Dalam Cluster Di Dekat Kampus Uii,"Ngemplak, Sleman",4,2,1,132 m²,90 m²
Rp 699 Juta,https://www.rumah123.com/properti/sleman/hos17135252/,Rumah Siap Huni Cantik Biaya All In Dekat Unriyo Tajem,"Ngemplak, Sleman",3,2,1,120 m²,75 m²
